Ratio,Direction,Bottom (C3) Start,Bottom (C3) End,Top (E3) Start,Top (E3) End
2:1,Accel,120,240,60,120
2:1,Decel,120,60,240,120
3:1,Accel,120,360,40,120
3:1,Decel,120,40,360,120
3:2,Accel,120,180,80,120
3:2,Decel,120,80,180,120
4:3,Accel,120,160,90,120
4:3,Decel,120,90,160,120
5:3,Accel,120,200,72,120
5:3,Decel,120,72,200,120
5:4,Accel,120,150,96,120
5:4,Decel,120,96,150,120
6:5,Accel,120,144,100,120
6:5,Decel,120,100,144,120
7:4,Accel,120,210,68.57,120
7:4,Decel,120,68.57,210,120
7:5,Accel,120,168,85.71,120
7:5,Decel,120,85.71,168,120
8:5,Accel,120,192,75,120
8:5,Decel,120,75,192,120
